participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_mapType
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","7","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","0","undefined","2651","2651","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","7","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","0","undefined","2651","2651","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","7","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":12,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","8","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","20","undefined","3485","3485","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","8","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","25","undefined","3485","3485","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","8","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":14,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","9","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","30","undefined","7723","7723","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","9","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","25","undefined","7723","7723","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","9","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":29,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","10","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","50","undefined","5602","5602","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","10","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","55","undefined","5602","5602","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","10","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":1,""keydown"":1,""keyup"":2,""mousemove"":16,""mousedown"":4,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","11","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","50","undefined","3421","3421","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","11","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","100","undefined","3421","3421","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","11","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":2,""keyup"":2,""mousemove"":14,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","12","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","25","undefined","3939","3939","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","12","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","15","undefined","3939","3939","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","12","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":17,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","13","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","25","undefined","5039","5039","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","13","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","25","undefined","5039","5039","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","13","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":30,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","14","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","30","undefined","7918","7918","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","14","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","50","undefined","7918","7918","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","14","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":17,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","15","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","25","undefined","3724","3724","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","15","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","30","undefined","3724","3724","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","15","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":13,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","16","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","0","undefined","6218","6218","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","16","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","40","undefined","6218","6218","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","16","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":15,""mousedown"":4,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","17","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","20","undefined","3208","3208","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","17","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","25","undefined","3208","3208","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","17","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","18","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","10","undefined","2841","2841","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","18","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","15","undefined","2841","2841","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","18","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":10,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","19","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","40","undefined","3822","3822","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","19","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","40","undefined","3822","3822","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","19","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":14,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","20","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","50","undefined","3389","3389","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","20","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","50","undefined","3389","3389","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","20","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":12,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","introduction","0","","completed","undefined","undefined","undefined","100.00","undefined","undefined","undefined","undefined","159169","159169","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","introduction","0","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","1","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","15","undefined","27393","27393","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","1","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","25","undefined","27393","27393","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","1","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":30,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","2","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","35","undefined","38667","38667","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","2","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","50","undefined","38667","38667","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","2","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":4,""keydown"":4,""keyup"":4,""mousemove"":12,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","3","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","40","undefined","12027","12027","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","3","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","40","undefined","12027","12027","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","3","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":2,""keyup"":1,""mousemove"":18,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","4","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","10","undefined","11715","11715","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","4","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","25","undefined","11715","11715","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","4","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":1,""mousemove"":10,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","5","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","5","undefined","7673","7673","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","5","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","10","undefined","7673","7673","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","5","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":3,""keydown"":3,""keyup"":3,""mousemove"":21,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","6","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","40","undefined","54690","54690","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","6","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","40","undefined","54690","54690","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","6","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":16,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","7","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","80","undefined","10917","10917","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","7","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","60","undefined","10917","10917","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","7","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":14,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","8","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","20","undefined","11380","11380","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","8","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","45","undefined","11380","11380","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","8","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":5,""keydown"":5,""keyup"":5,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","9","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","0","undefined","6715","6715","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","9","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","5","undefined","6715","6715","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","9","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":14,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","10","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","10","undefined","6077","6077","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","10","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","10","undefined","6077","6077","Bubble"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-bubble","10","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":16,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","11","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","15","undefined","7013","7013","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","11","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","10","undefined","7013","7013","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","11","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":9,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","12","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","30","undefined","9594","9594","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","12","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","40","undefined","9594","9594","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","12","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":9,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","13","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","65","undefined","17424","17424","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","13","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","60","undefined","17424","17424","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","13","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":11,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","14","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","20","undefined","10508","10508","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","14","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","15","undefined","10508","10508","Hexbin"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-hexbin","14","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":2,""keydown"":3,""keyup"":4,""mousemove"":26,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","15","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","40","undefined","6598","6598","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","15","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","50","undefined","6598","6598","Spike"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-spike","15","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":4,""keydown"":5,""keyup"":4,""mousemove"":13,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","16","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","65","undefined","7850","7850","Choropleth"
"074093d5-6f1c-4505-8c87-66c75dd9f5e5","trial-choropleth","16","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","65","undefined","7850","7850","Choropleth"
